season,division,date,home,away,home_goals,away_goals
2025,1,2025-08-29,Turkey,Czech Republic,92,78
2025,1,2025-08-29,Germany,Sweden,105,83
2025,1,2025-08-28,Greece,Italy,75,66
2025,1,2025-08-28,Slovenia,Poland,95,105
2025,1,2025-08-28,Bosnia & Herzegovina,Cyprus,91,64
2025,1,2025-08-28,Belgium,France,64,92
2025,1,2025-08-28,Georgia,Spain,83,69
2025,1,2025-08-28,Israel,Iceland,83,71
2025,1,2025-08-27,Serbia,Estonia,98,64
2025,1,2025-08-27,Sweden,Finland,90,93
2025,1,2025-08-27,Latvia,Turkey,73,93
2025,1,2025-08-27,Montenegro,Germany,76,106
2025,1,2025-08-27,Czech Republic,Portugal,50,62
2025,1,2025-08-27,Great Britain,Lithuania,70,94
2025,2,2025-08-24,Greece,France,77,92
2025,2,2025-08-23,Germany,Spain,95,78
2025,2,2025-08-23,Turkey,Montenegro,96,85
2025,2,2025-08-22,Greece,Italy,76,74
2025,2,2025-08-22,Lithuania,Iceland,96,83
2025,2,2025-08-22,Estonia,Great Britain,62,72
2025,2,2025-08-21,Spain,Germany,105,106
2025,2,2025-08-21,Serbia,Slovenia,106,72
2025,2,2025-08-21,Italy,Latvia,68,83
2025,2,2025-08-21,Czech Republic,Georgia,100,87
2025,2,2025-08-21,Finland,Poland,106,87
2025,2,2025-08-20,Greece,Latvia,104,86
2025,2,2025-08-20,Sweden,Estonia,87,88
2025,2,2025-08-20,Lithuania,Turkey,81,84
2025,2,2025-08-19,Slovenia,Great Britain,93,81
2025,2,2025-08-17,Montenegro,Israel,88,76
2025,2,2025-08-17,Belgium,Bosnia & Herzegovina,60,73
2025,2,2025-08-17,Poland,Finland,88,97
2025,2,2025-08-16,France,Spain,78,73
2025,2,2025-08-16,Portugal,Sweden,78,61
2025,2,2025-08-16,Bosnia & Herzegovina,Great Britain,103,73
2025,2,2025-08-16,Latvia,Slovenia,100,88
2025,2,2025-08-15,Portugal,Iceland,83,79
2025,2,2025-08-15,Belgium,Great Britain,84,72
2025,2,2025-08-15,Lithuania,Slovenia,94,72
2025,2,2025-08-14,Sweden,Iceland,70,73
2025,2,2025-08-14,Spain,France,67,75
2025,2,2025-08-14,Italy,Argentina,84,72
2025,2,2025-08-14,Latvia,Lithuania,105,109
2025,2,2025-08-14,Greece,Montenegro,69,61
2025,2,2025-08-14,Poland,Georgia,94,89
2025,2,2025-08-11,Finland,Belgium,92,74
2025,2,2025-08-10,Greece,Israel,58,75
