date,home,away,home_score,away_score
09.09. 16:30,France,Greece,84,68
09.09. 16:30,Lithuania,Latvia,80,97
08.09. 18:00,Slovenia,Croatia,75,83
08.09. 16:00,Montenegro,Greece,76,87
08.09. 11:00,Russia,Poland,88,68
07.09. 18:30,France,Montenegro,83,66
07.09. 17:30,Portugal,Austria,74,79
07.09. 16:00,Estonia,Belgium,55,68
07.09. 16:00,Latvia,Finland,84,86
07.09. 14:00,Israel,Poland,76,84
06.09. 16:30,Russia,Israel,71,93
06.09. 16:00,Estonia,Belgium,60,98
05.09. 18:00,Croatia,Slovenia,86,87
05.09. 15:30,Finland,Lithuania,103,75
31.08. 16:00,Finland,Latvia,80,73
15.08. 11:30,Croatia,Tunisia,73,46
14.08. 08:00,Finland,Croatia,70,77
07.07. 16:30,North Macedonia U20,Romania U20,75,66
07.07. 15:30,Turkey U20,Montenegro U20,80,70
07.07. 14:00,Hungary U20,Belgium U20,51,60
07.07. 13:00,Latvia U20,Georgia U20,58,52
07.07. 12:30,Italy U20,Lithuania U20,70,59
07.07. 10:00,France U20,Serbia U20,74,71
06.07. 16:00,Serbia U20,Turkey U20,81,79
06.07. 13:30,France U20,Italy U20,71,72
06.07. 11:00,Montenegro U20,Lithuania U20,70,91
05.07. 16:00,Turkey U20,France U20,61,74
05.07. 13:30,Montenegro U20,Italy U20,73,77
05.07. 11:00,Lithuania U20,Serbia U20,84,80
04.07. 16:00,Italy U20,Turkey U20,70,83
04.07. 15:00,Bulgaria U20,North Macedonia U20,62,60
04.07. 13:30,Lithuania U20,France U20,80,55
04.07. 11:00,Serbia U20,Montenegro U20,89,67
03.07. 16:00,Turkey U20,Lithuania U20,88,63
03.07. 15:00,Bulgaria U20,North Macedonia U20,86,72
03.07. 13:30,Serbia U20,Italy U20,86,76
03.07. 11:00,France U20,Montenegro U20,52,68
02.07. 17:00AOT,Slovenia U20,Finland U20,82,85
02.07. 15:00AOT,Croatia U20,Greece U20,84,76
30.06. 09:00,Czech Republic U20,Slovakia U20,80,62
29.06. 14:00,Czech Republic U20,Slovakia U20,90,82
28.06. 16:30,Czech Republic U20,Slovakia U20,87,73
28.06. 10:00,Lithuania U20,Israel U20,67,84
25.06. 16:00,Latvia,Russia,71,79
25.06. 15:30,Finland,Estonia,95,76
23.06. 15:00AOT,Ireland,Luxembourg,93,97
22.06. 18:30,Armenia,Qatar,63,72
22.06. 18:30,Italy U20,Netherlands U20,79,51
22.06. 18:00,Croatia,Bosnia & Herzegovina,88,75
22.06. 18:00,Ireland,Luxembourg,82,67
22.06. 18:00,Mali,United Arab Emirates,59,48
22.06. 16:00,Czech Republic,Georgia,71,57
22.06. 16:00,Slovenia U20,Turkey U20,60,76
22.06. 15:00,Bulgaria,Tunisia,84,87
22.06. 13:00,Israel,Ukraine,83,85
21.06. 16:00AOT,Estonia,Finland,69,76
21.06. 15:00,Bulgaria,Tunisia,81,61
20.06. 18:00,Mali,D.R. Congo,63,59
20.06. 17:00,Croatia U20,Montenegro U20,68,53
20.06. 15:30,Finland U20,Sweden U20,75,91
19.06. 18:00,D.R. Congo,United Arab Emirates,75,43
19.06. 16:30,Jordan,Cameroon,74,79
19.06. 15:30,Finland U20,Sweden U20,90,75
19.06. 15:00,Cyprus,Lebanon,53,74
19.06. 14:15,Saudi Arabia,Iraq,56,71
19.06. 13:00,Lithuania U20,Latvia U20,83,52
18.06. 16:30,Cameroon,Saudi Arabia,76,59
18.06. 14:15,Jordan,Uganda,91,75
18.06. 11:00,Tunisia,Mali,80,46
17.06. 15:00,Lithuania U20,Ukraine U20,82,76
17.06. 04:30,Japan,South Korea,87,99
15.06. 15:00,Ukraine U20,Turkey U20,61,79
15.06. 10:30,Japan,South Korea,88,80
14.06. 15:00,Ukraine U20,Belarus U20,97,76
13.06. 15:00,Belarus U20,Turkey U20,45,98
12.06. 15:00,Ukraine U20,Belarus U20,70,64
