date,division,home,away
2025-08-27,1,Great Britain,Lithuania
2025-08-27,1,Czech Republic,Portugal
2025-08-27,1,Montenegro,Germany
2025-08-27,1,Latvia,Turkey
2025-08-27,1,Sweden,Finland
2025-08-27,1,Serbia,Estonia
2025-08-28,1,Georgia,Spain
2025-08-28,1,Israel,Iceland
2025-08-28,1,Belgium,France
2025-08-28,1,Bosnia & Herzegovina,Cyprus
2025-08-28,1,Greece,Italy
2025-08-28,1,Slovenia,Poland
2025-08-29,1,Germany,Sweden
2025-08-29,1,Turkey,Czech Republic
2025-08-29,1,Lithuania,Montenegro
2025-08-29,1,Estonia,Latvia
2025-08-29,1,Finland,Great Britain
2025-08-29,1,Portugal,Serbia
2025-08-30,1,Lithuania,Germany
2025-08-30,1,Czech Republic,Estonia
2025-08-30,1,Iceland,Belgium
2025-08-30,1,Italy,Georgia
2025-08-30,1,Great Britain,Sweden
2025-08-30,1,France,Slovenia
2025-08-30,1,Latvia,Serbia
2025-08-30,1,Cyprus,Greece
2025-08-30,1,Montenegro,Finland
2025-08-30,1,Turkey,Portugal
2025-08-30,1,Poland,Israel
2025-08-30,1,Spain,Bosnia & Herzegovina
2025-08-31,1,Georgia,Greece
2025-08-31,1,Slovenia,Belgium
2025-08-31,1,Israel,France
2025-08-31,1,Spain,Cyprus
2025-08-31,1,Bosnia & Herzegovina,Italy
2025-08-31,1,Poland,Iceland
2025-09-01,1,Sweden,Montenegro
2025-09-01,1,Estonia,Turkey
2025-09-01,1,Germany,Great Britain
2025-09-01,1,Portugal,Latvia
2025-09-01,1,Finland,Lithuania
2025-09-01,1,Serbia,Czech Republic
2025-09-02,1,Belgium,Israel
2025-09-02,1,Greece,Bosnia & Herzegovina
2025-09-02,1,Iceland,Slovenia
2025-09-02,1,Cyprus,Georgia
2025-09-02,1,France,Poland
2025-09-02,1,Italy,Spain
2025-09-03,1,Montenegro,Great Britain
2025-09-03,1,Estonia,Portugal
2025-09-03,1,Lithuania,Sweden
2025-09-03,1,Czech Republic,Latvia
2025-09-03,1,Finland,Germany
2025-09-03,1,Turkey,Serbia
2025-09-04,1,Bosnia & Herzegovina,Georgia
2025-09-04,1,France,Iceland
2025-09-04,1,Israel,Slovenia
2025-09-04,1,Italy,Cyprus
2025-09-04,1,Poland,Belgium
2025-09-04,1,Spain,Greece
