date,home,away,home_score,away_score
15.09. 12:00,Argentina,Spain,75,95
15.09. 08:00,France,Australia,67,59
14.09. 12:00,Serbia,Czech Republic,90,81
14.09. 08:00,USA,Poland,87,74
13.09. 12:00,Argentina,France,80,66
13.09. 08:00AOT,Spain,Australia,95,88
12.09. 13:00,Poland,Czech Republic,84,94
12.09. 11:00,Serbia,USA,94,89
11.09. 13:00,Australia,Czech Republic,82,70
11.09. 11:00,USA,France,79,89
10.09. 13:00,Spain,Poland,90,78
10.09. 11:00,Argentina,Serbia,97,87
09.09. 12:30,USA,Brazil,89,73
09.09. 12:00,France,Australia,98,100
09.09. 12:00,Germany,Canada,82,76
09.09. 11:30,Turkey,New Zealand,101,102
09.09. 08:30,Czech Republic,Greece,77,84
09.09. 08:00,Dominican Republic,Lithuania,55,74
09.09. 08:00,Jordan,Senegal,79,77
09.09. 07:30,Japan,Montenegro,65,80
08.09. 12:30,Spain,Serbia,81,69
08.09. 12:00,Poland,Argentina,65,91
08.09. 12:00,China,Nigeria,73,86
08.09. 12:00,Iran,Philippines,95,75
08.09. 08:30AOT,Puerto Rico,Italy,89,94
08.09. 08:00,Venezuela,Russia,60,69
08.09. 08:00,Ivory Coast,South Korea,71,80
08.09. 08:00,Tunisia,Angola,86,84
07.09. 12:30,USA,Greece,69,53
07.09. 12:00,France,Lithuania,78,75
07.09. 12:00,Germany,Senegal,89,78
07.09. 11:30,Turkey,Montenegro,79,74
07.09. 08:30,Brazil,Czech Republic,71,93
07.09. 08:00,Australia,Dominican Republic,82,76
07.09. 08:00,Canada,Jordan,126,71
07.09. 07:30,New Zealand,Japan,111,81
06.09. 12:30,Spain,Italy,67,60
06.09. 12:00,Argentina,Venezuela,87,67
06.09. 12:00,China,South Korea,77,73
06.09. 12:00,Tunisia,Philippines,86,67
06.09. 08:30,Serbia,Puerto Rico,90,47
06.09. 08:00,Poland,Russia,79,74
06.09. 08:00,Angola,Iran,62,71
06.09. 08:00,Nigeria,Ivory Coast,83,66
05.09. 12:30,Dominican Republic,France,56,90
05.09. 12:30,USA,Japan,98,45
05.09. 12:00,Greece,New Zealand,103,97
05.09. 11:30,Lithuania,Australia,82,87
05.09. 08:30,Germany,Jordan,96,62
05.09. 08:30,Turkey,Czech Republic,76,91
05.09. 08:00,Brazil,Montenegro,84,73
05.09. 07:30,Canada,Senegal,82,60
04.09. 12:30,Russia,Argentina,61,69
04.09. 12:30,Spain,Iran,73,65
04.09. 12:00,Venezuela,China,72,59
04.09. 11:30,Italy,Serbia,77,92
04.09. 08:30,Puerto Rico,Tunisia,67,64
04.09. 08:30,South Korea,Nigeria,66,108
04.09. 08:00,Ivory Coast,Poland,63,80
04.09. 07:30AOT,Angola,Philippines,84,81
03.09. 12:30,Jordan,France,64,103
03.09. 12:30AOT,USA,Turkey,93,92
03.09. 12:00,Brazil,Greece,79,78
03.09. 11:30,Lithuania,Canada,92,69
03.09. 08:30,Germany,Dominican Republic,68,70
03.09. 08:30,Japan,Czech Republic,76,89
03.09. 08:00,Montenegro,New Zealand,83,93
03.09. 07:30,Australia,Senegal,81,68
02.09. 12:30,Puerto Rico,Spain,63,73
02.09. 12:30,South Korea,Russia,73,87
02.09. 12:00AOT,China,Poland,76,79
02.09. 11:30,Serbia,Philippines,126,67
02.09. 08:30,Nigeria,Argentina,81,94
02.09. 08:30,Tunisia,Iran,79,67
02.09. 08:00,Venezuela,Ivory Coast,87,71
02.09. 07:30,Italy,Angola,92,61
01.09. 12:30,Czech Republic,USA,67,88
01.09. 12:30,France,Germany,78,74
01.09. 12:00,Greece,Montenegro,85,60
01.09. 11:30,Senegal,Lithuania,47,101
01.09. 08:30,Dominican Republic,Jordan,80,76
01.09. 08:30,Turkey,Japan,86,67
01.09. 08:00,New Zealand,Brazil,94,102
01.09. 07:30,Canada,Australia,92,108
31.08. 12:30,Argentina,South Korea,95,69
31.08. 12:30,Spain,Tunisia,101,62
31.08. 12:00,Ivory Coast,China,55,70
31.08. 11:30,Philippines,Italy,62,108
31.08. 08:30,Iran,Puerto Rico,81,83
31.08. 08:30,Russia,Nigeria,82,77
31.08. 08:00,Poland,Venezuela,80,69
31.08. 07:30,Angola,Serbia,59,105
26.02. 02:30,Mexico,Panama,78,61
26.02. 00:30,Dominican Republic,Brazil,63,71
26.02. 00:30,Puerto Rico,Uruguay,65,61
26.02. 00:00,USA,Argentina,84,83
25.02. 19:30,Poland,Netherlands,85,76
25.02. 18:30,Spain,Turkey,74,58
25.02. 18:00,Montenegro,Latvia,74,80
25.02. 18:00AOT,Slovenia,Ukraine,85,84
25.02. 17:30,Hungary,Croatia,84,65
25.02. 17:30,Lithuania,Italy,86,73
24.02. 23:00,United States Virgin Islands,Chile,64,59
24.02. 20:00,Ivory Coast,Mali,69,49
24.02. 19:30,Canada,Venezuela,95,55
24.02. 17:30,Central African Republic,Rwanda,77,69
24.02. 17:00,Bosnia & Herzegovina,Bulgaria,87,67
24.02. 17:00,Germany,Greece,63,69
24.02. 16:00,France,Czech Republic,82,66
24.02. 15:00,Senegal,Nigeria,84,63
24.02. 15:00,Georgia,Estonia,77,84
24.02. 15:00,Serbia,Israel,97,76
24.02. 14:30,Iran,Australia,85,74
24.02. 14:30,Jordan,New Zealand,86,80
24.02. 14:30,Kazakhstan,Philippines,75,93
24.02. 14:30,Lebanon,South Korea,72,84
24.02. 14:30,Qatar,Japan,48,96
24.02. 13:00,Russia,Finland,91,76
24.02. 10:30,Syria,China,59,90
23.02. 20:00,Ivory Coast,Rwanda,87,60
23.02. 17:30,Central African Republic,Nigeria,59,72
23.02. 15:00,Senegal,Mali,62,38
23.02. 02:30,Mexico,Uruguay,88,77
23.02. 00:00AOT,Puerto Rico,Argentina,87,86
23.02. 00:00,USA,Panama,111,80
22.02. 20:00,Nigeria,Ivory Coast,46,72
22.02. 19:30,Lebanon,New Zealand,67,69
22.02. 19:15,Italy,Hungary,75,41
22.02. 19:00,Netherlands,Lithuania,69,78
22.02. 17:30,Rwanda,Senegal,41,81
22.02. 17:30,Jordan,China,86,62
22.02. 17:30,Latvia,Spain,62,67
22.02. 17:00,Croatia,Poland,69,77
22.02. 17:00,Ukraine,Montenegro,74,76
22.02. 16:00,Turkey,Slovenia,77,58
22.02. 15:00,Mali,Central African Republic,57,75
22.02. 14:00,Syria,South Korea,74,87
22.02. 00:30,Dominican Republic,Venezuela,72,67
21.02. 23:00,United States Virgin Islands,Brazil,80,104
21.02. 22:30,Canada,Chile,85,46
21.02. 18:30,Greece,Georgia,81,69
21.02. 17:30,Israel,Germany,81,77
21.02. 17:00,Czech Republic,Bosnia & Herzegovina,69,64
21.02. 17:00,Estonia,Serbia,71,70
21.02. 17:00,Finland,France,76,69
21.02. 16:00,Qatar,Philippines,46,84
21.02. 16:00,Bulgaria,Russia,60,104
21.02. 14:30,Iran,Japan,89,97
21.02. 14:00,Kazakhstan,Australia,60,81
03.12. 23:30,Chile,Dominican Republic,65,74
03.12. 22:15,United States Virgin Islands,Venezuela,76,77
03.12. 22:00,Brazil,Canada,67,94
03.12. 19:15,Serbia,Greece,84,61
03.12. 19:00,Germany,Estonia,87,70
03.12. 18:00,Bosnia & Herzegovina,Finland,77,81
03.12. 18:00,France,Bulgaria,77,53
03.12. 16:30,Russia,Czech Republic,81,61
03.12. 15:00AOT,Georgia,Israel,71,69
03.12. 11:30,Philippines,Iran,70,78
03.12. 10:00,Japan,Kazakhstan,86,70
03.12. 08:35,Australia,Qatar,110,59
03.12. 00:30,Argentina,Mexico,85,71
02.12. 23:00,Uruguay,USA,70,78
02.12. 22:00,Panama,Puerto Rico,70,71
02.12. 19:15,Poland,Italy,94,78
02.12. 19:00,Angola,Tunisia,69,63
02.12. 18:00,Montenegro,Turkey,71,66
02.12. 17:30,Lithuania,Croatia,79,62
02.12. 17:00,Spain,Ukraine,72,68
02.12. 16:30,Morocco,Chad,62,45
02.12. 16:00,Slovenia,Latvia,77,82
02.12. 15:00AOT,Hungary,Netherlands,91,86
02.12. 14:00,Egypt,Cameroon,60,80
02.12. 11:35,China,Lebanon,72,52
02.12. 06:00,South Korea,Jordan,88,67
02.12. 02:10,New Zealand,Syria,97,74
01.12. 19:00,Angola,Chad,90,50
01.12. 16:30,Morocco,Cameroon,57,63
01.12. 14:00AOT,Egypt,Tunisia,73,64
01.12. 00:30,Chile,United States Virgin Islands,81,63
30.11. 22:15,Venezuela,Canada,84,76
30.11. 21:15,Brazil,Dominican Republic,100,82
30.11. 19:00,Cameroon,Angola,73,77
30.11. 17:00,Bulgaria,Bosnia & Herzegovina,89,82
30.11. 17:00,Czech Republic,France,65,79
30.11. 17:00,Estonia,Georgia,73,80
30.11. 17:00AOT,Finland,Russia,75,77
30.11. 17:00,Greece,Germany,92,84
30.11. 16:30,Chad,Egypt,58,85
30.11. 14:00,Tunisia,Morocco,89,51
30.11. 12:00,Israel,Serbia,83,74
30.11. 11:30,Philippines,Kazakhstan,88,92
30.11. 10:00,Japan,Qatar,85,47
30.11. 08:35,Australia,Iran,76,47
30.11. 01:30,Panama,Mexico,76,65
30.11. 00:30,Argentina,USA,80,63
29.11. 23:30,Uruguay,Puerto Rico,64,62
29.11. 19:15,Italy,Lithuania,70,65
29.11. 19:00,Netherlands,Poland,78,105
29.11. 17:30,Latvia,Montenegro,75,84
29.11. 17:00,Croatia,Hungary,74,69
29.11. 17:00,Ukraine,Slovenia,82,54
29.11. 16:00,Turkey,Spain,71,67
29.11. 12:00,China,Syria,101,52
29.11. 10:30,South Korea,Lebanon,84,71
29.11. 06:10,New Zealand,Jordan,95,69
18.09. 01:00,Panama,USA,48,78
18.09. 00:15,Argentina,Puerto Rico,106,84
17.09. 23:00,Chile,Canada,61,84
17.09. 22:15,Uruguay,Mexico,63,60
17.09. 19:00,Poland,Croatia,79,74
17.09. 18:15,Montenegro,Ukraine,90,84
17.09. 18:00,Slovenia,Turkey,77,86
17.09. 17:00,Spain,Latvia,85,82
17.09. 16:30AOT,Lithuania,Netherlands,95,93
17.09. 16:00,Hungary,Italy,63,69
17.09. 11:35,China,Jordan,88,79
17.09. 11:30,Philippines,Qatar,92,81
17.09. 11:00,South Korea,Syria,103,66
17.09. 09:00,Australia,Kazakhstan,94,41
17.09. 08:10,Japan,Iran,70,56
17.09. 07:10,New Zealand,Lebanon,63,60
17.09. 00:00Awrd,Brazil,United States Virgin Islands,20,0
16.09. 21:00AOT,Venezuela,Dominican Republic,79,78
16.09. 19:30,Cameroon,Egypt,58,62
16.09. 19:00,Nigeria,Senegal,89,61
16.09. 18:15,Serbia,Estonia,91,65
16.09. 18:00,Bosnia & Herzegovina,Czech Republic,80,85
16.09. 17:00,Tunisia,Angola,84,64
16.09. 16:30,Rwanda,Central African Republic,61,68
16.09. 16:00AOT,Germany,Israel,112,98
16.09. 15:05,France,Finland,83,67
16.09. 15:00,Georgia,Greece,85,86
16.09. 15:00,Russia,Bulgaria,77,73
16.09. 14:30,Chad,Morocco,69,63
16.09. 14:00,Mali,Ivory Coast,59,69
15.09. 19:30,Chad,Angola,33,75
15.09. 19:00,Nigeria,Central African Republic,114,69
15.09. 17:00,Tunisia,Egypt,69,47
15.09. 16:30,Rwanda,Ivory Coast,53,71
15.09. 14:30,Cameroon,Morocco,84,74
15.09. 14:00,Mali,Senegal,71,82
15.09. 02:00,USA,Uruguay,114,57
15.09. 01:30,Mexico,Argentina,74,78
14.09. 23:30,Puerto Rico,Panama,82,73
14.09. 19:30,Egypt,Chad,99,83
14.09. 19:00,Ivory Coast,Nigeria,73,84
14.09. 18:15,Croatia,Lithuania,83,84
14.09. 18:15,Italy,Poland,101,82
14.09. 18:00,Netherlands,Hungary,59,74
14.09. 17:00,Morocco,Tunisia,50,65
14.09. 17:00,Turkey,Montenegro,79,69
14.09. 16:30,Senegal,Rwanda,94,89
14.09. 16:30,Latvia,Slovenia,85,74
14.09. 16:00,Ukraine,Spain,76,65
14.09. 14:30,Angola,Cameroon,83,76
14.09. 14:00,Central African Republic,Mali,65,66
14.09. 00:30,Dominican Republic,Chile,71,46
13.09. 23:30,Canada,Brazil,85,77
13.09. 22:30,Venezuela,United States Virgin Islands,87,73
13.09. 18:30AOT,Lebanon,China,92,88
13.09. 18:00,Greece,Serbia,70,63
13.09. 17:00,Israel,Georgia,80,85
13.09. 16:00,Czech Republic,Russia,80,78
13.09. 16:00,Estonia,Germany,43,86
13.09. 16:00,Finland,Bosnia & Herzegovina,85,81
13.09. 15:30,Jordan,South Korea,75,86
13.09. 15:00,Qatar,Australia,43,95
13.09. 15:00,Bulgaria,France,74,68
13.09. 14:00,Kazakhstan,Japan,70,85
13.09. 14:00,Syria,New Zealand,66,107
13.09. 12:30,Iran,Philippines,81,73
03.07. 00:30,Chile,Venezuela,51,70
03.07. 00:00,Dominican Republic,Bahamas,82,83
02.07. 21:00,Colombia,Brazil,71,98
02.07. 18:30,Belgium,Bosnia & Herzegovina,79,77
02.07. 18:30,Great Britain,Israel,59,67
02.07. 18:00,Serbia,Germany,81,88
02.07. 17:30,Canada,United States Virgin Islands,99,69
02.07. 16:00,Czech Republic,Bulgaria,81,75
02.07. 16:00,Estonia,Greece,56,78
02.07. 16:00,Russia,France,78,84
02.07. 15:45,Finland,Iceland,91,77
02.07. 15:00AOT,Qatar,Iraq,84,79
02.07. 15:00,Georgia,Austria,98,73
02.07. 11:30,Iran,Kazakhstan,88,56
02.07. 11:30,Philippines,Australia,53,89
02.07. 11:00,Chinese Taipei,Japan,68,108
02.07. 01:15,Paraguay,Panama,67,74
01.07. 23:00,Puerto Rico,Mexico,84,79
01.07. 23:00,Uruguay,Argentina,58,102
01.07. 21:00,Tunisia,Cameroon,56,53
01.07. 20:00,Cuba,USA,62,93
01.07. 19:30,Nigeria,Mali,93,53
01.07. 19:00,Mozambique,Senegal,63,78
01.07. 18:30,Lebanon,Syria,87,50
01.07. 18:30,Kosovo,Poland,70,103
01.07. 18:00,Egypt,Morocco,59,53
01.07. 18:00,Hungary,Lithuania,50,73
01.07. 18:00,Slovenia,Montenegro,74,87
01.07. 17:00,Rwanda,Uganda,92,79
01.07. 16:30,Central African Republic,Ivory Coast,69,60
01.07. 16:30,Spain,Belarus,80,60
01.07. 16:00,Jordan,India,114,70
01.07. 16:00,Netherlands,Italy,81,66
01.07. 16:00,Romania,Croatia,63,90
01.07. 15:30,Angola,D.R. Congo,56,66
01.07. 15:30,Chad,Guinea,80,49
01.07. 15:00,Turkey,Sweden,77,52
01.07. 13:00,Ukraine,Latvia,71,93
01.07. 12:00,Hong Kong,South Korea,91,104
01.07. 03:10,New Zealand,China,67,57
30.06. 21:00,Chad,Tunisia,46,85
30.06. 19:30,Rwanda,Nigeria,70,111
30.06. 19:00,Senegal,Ivory Coast,66,61
30.06. 18:00,Angola,Egypt,65,58
30.06. 17:00,Uganda,Mali,80,95
30.06. 16:30,Mozambique,Central African Republic,63,72
30.06. 15:30AOT,D.R. Congo,Morocco,58,61
30.06. 15:30,Guinea,Cameroon,48,65
30.06. 01:15,Chile,Colombia,67,71
29.06. 23:30,Canada,Dominican Republic,97,61
29.06. 23:00,Venezuela,Brazil,72,56
29.06. 21:00,Tunisia,Guinea,94,54
29.06. 19:30,Nigeria,Uganda,109,66
29.06. 19:00,Central African Republic,Senegal,82,91
29.06. 18:30,Belgium,Russia,66,84
