iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-09-06,Turkey,Sweden,96.187618,65.966655
1,2,1,2025-09-06,Germany,Portugal,83.928353,74.561348
1,3,1,2025-09-06,Latvia,Lithuania,92.665619,70.676464
1,4,1,2025-09-06,Finland,Serbia,113.09405,100.68973
2,1,1,2025-09-06,Turkey,Sweden,85.219318,82.700297
2,2,1,2025-09-06,Germany,Portugal,80.39778,70.323958
2,3,1,2025-09-06,Latvia,Lithuania,98.206764,92.985572
2,4,1,2025-09-06,Finland,Serbia,102.72915,101.98019
3,1,1,2025-09-06,Turkey,Sweden,73.201914,77.451537
3,2,1,2025-09-06,Germany,Portugal,96.088751,45.289656
3,3,1,2025-09-06,Latvia,Lithuania,69.93228,76.887762
3,4,1,2025-09-06,Finland,Serbia,89.029666,95.472041
4,1,1,2025-09-06,Turkey,Sweden,94.626554,93.079292
4,2,1,2025-09-06,Germany,Portugal,86.414159,51.778906
4,3,1,2025-09-06,Latvia,Lithuania,86.647091,72.838091
4,4,1,2025-09-06,Finland,Serbia,73.377193,88.631813
5,1,1,2025-09-06,Turkey,Sweden,103.83847,69.099068
5,2,1,2025-09-06,Germany,Portugal,85.020475,60.55855
5,3,1,2025-09-06,Latvia,Lithuania,91.405136,70.786419
5,4,1,2025-09-06,Finland,Serbia,94.586211,96.615138
6,1,1,2025-09-06,Turkey,Sweden,103.31271,78.698096
6,2,1,2025-09-06,Germany,Portugal,53.241612,62.463779
6,3,1,2025-09-06,Latvia,Lithuania,80.303924,71.448635
6,4,1,2025-09-06,Finland,Serbia,70.677775,93.159609
7,1,1,2025-09-06,Turkey,Sweden,89.275137,58.816617
7,2,1,2025-09-06,Germany,Portugal,90.974078,85.013447
7,3,1,2025-09-06,Latvia,Lithuania,76.982735,96.973096
7,4,1,2025-09-06,Finland,Serbia,88.281194,79.911678
8,1,1,2025-09-06,Turkey,Sweden,77.020221,48.417421
8,2,1,2025-09-06,Germany,Portugal,86.389377,61.059648
8,3,1,2025-09-06,Latvia,Lithuania,94.210665,84.481167
8,4,1,2025-09-06,Finland,Serbia,103.10577,91.931846
9,1,1,2025-09-06,Turkey,Sweden,83.101936,76.051155
9,2,1,2025-09-06,Germany,Portugal,98.130627,50.019808
9,3,1,2025-09-06,Latvia,Lithuania,89.129237,90.653389
9,4,1,2025-09-06,Finland,Serbia,90.05314,93.873606
10,1,1,2025-09-06,Turkey,Sweden,89.717911,92.40467
10,2,1,2025-09-06,Germany,Portugal,95.490711,72.361923
10,3,1,2025-09-06,Latvia,Lithuania,90.06727,84.378329
10,4,1,2025-09-06,Finland,Serbia,92.261846,77.683726
11,1,1,2025-09-06,Turkey,Sweden,82.972635,63.814806
11,2,1,2025-09-06,Germany,Portugal,90.825692,57.166294
11,3,1,2025-09-06,Latvia,Lithuania,80.473729,73.295031
11,4,1,2025-09-06,Finland,Serbia,74.569458,89.228011
12,1,1,2025-09-06,Turkey,Sweden,75.352309,61.084152
12,2,1,2025-09-06,Germany,Portugal,86.397714,68.926267
12,3,1,2025-09-06,Latvia,Lithuania,71.764201,67.369614
12,4,1,2025-09-06,Finland,Serbia,104.95198,113.245
13,1,1,2025-09-06,Turkey,Sweden,82.453774,75.672504
13,2,1,2025-09-06,Germany,Portugal,80.509945,73.371296
13,3,1,2025-09-06,Latvia,Lithuania,97.691866,78.560248
13,4,1,2025-09-06,Finland,Serbia,100.28287,82.527614
14,1,1,2025-09-06,Turkey,Sweden,88.338362,69.288768
14,2,1,2025-09-06,Germany,Portugal,82.900291,63.798759
14,3,1,2025-09-06,Latvia,Lithuania,76.437595,66.617098
14,4,1,2025-09-06,Finland,Serbia,88.003538,83.951872
