season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,1,2016-08-31,Iceland,Switzerland,88,72,1,1,7,7,1,1,1,35,76
2017,1,2016-08-31,Montenegro,Slovakia,97,65,2,1,7,7,1,1,1,53,70
2017,1,2016-08-31,North Macedonia,Luxembourg,89,75,3,1,7,7,1,1,1,57,51
2017,1,2016-08-31,Netherlands,Austria,72,75,4,1,7,7,1,1,1,54,5
2017,1,2016-08-31,Poland,Portugal,83,57,5,1,7,7,1,1,1,61,62
2017,1,2016-08-31,Slovenia,Kosovo,113,68,6,1,7,7,1,1,1,71,47
2017,1,2016-08-31,Germany,Denmark,101,74,7,1,7,7,1,1,1,30,23
2017,1,2016-08-31,Belgium,Cyprus,65,46,8,1,7,7,1,1,1,8,20
2017,1,2016-08-31,Hungary,Great Britain,96,77,9,1,7,7,1,1,1,34,31
2017,1,2016-08-31,Ukraine,Bulgaria,79,69,10,1,7,7,1,1,1,82,11
2017,1,2016-08-31,Georgia,Albania,86,47,11,1,7,7,1,1,1,29,1
2017,1,2016-08-31,Russia,Bosnia & Herzegovina,83,54,12,1,7,7,1,1,1,66,9
2017,1,2016-09-03,Austria,Germany,59,61,13,1,3,3,2,2,0,5,30
2017,1,2016-09-03,Bosnia & Herzegovina,Sweden,74,71,14,1,3,7,2,1,0,9,75
2017,1,2016-09-03,Kosovo,Ukraine,63,70,15,1,3,3,2,2,0,47,82
2017,1,2016-09-03,Great Britain,North Macedonia,96,79,16,1,3,3,2,2,0,31,57
2017,1,2016-09-03,Portugal,Estonia,68,76,17,1,3,7,2,1,0,62,26
2017,1,2016-09-03,Albania,Montenegro,73,113,18,1,3,3,2,2,0,1,53
2017,1,2016-09-03,Denmark,Netherlands,72,90,19,1,3,3,2,2,0,23,54
2017,1,2016-09-03,Hungary,Luxembourg,89,64,20,1,3,3,2,2,0,34,51
2017,1,2016-09-03,Slovakia,Georgia,63,94,21,1,3,3,2,2,0,70,29
2017,1,2016-09-03,Switzerland,Belgium,72,87,22,1,3,3,2,2,0,76,8
2017,1,2016-09-03,Bulgaria,Slovenia,78,83,23,1,3,3,2,2,0,11,71
2017,1,2016-09-03,Cyprus,Iceland,64,75,24,1,3,3,2,2,0,20,35
2017,1,2016-09-07,North Macedonia,Hungary,66,76,25,1,4,4,3,3,0,57,34
2017,1,2016-09-07,Belgium,Iceland,80,65,26,1,4,4,3,3,0,8,35
2017,1,2016-09-07,Great Britain,Luxembourg,95,72,27,1,4,4,3,3,0,31,51
2017,1,2016-09-07,Poland,Estonia,78,64,28,1,7,4,2,2,0,61,26
2017,1,2016-09-07,Slovenia,Ukraine,84,77,29,1,4,4,3,3,0,71,82
2017,1,2016-09-07,Sweden,Russia,73,85,30,1,4,7,2,2,0,75,66
2017,1,2016-09-07,Germany,Netherlands,71,75,31,1,4,4,3,3,0,30,54
2017,1,2016-09-07,Switzerland,Cyprus,76,80,32,1,4,4,3,3,0,76,20
2017,1,2016-09-07,Austria,Denmark,86,66,33,1,4,4,3,3,0,5,23
2017,1,2016-09-07,Slovakia,Albania,69,60,34,1,4,4,3,3,0,70,1
2017,1,2016-09-07,Bulgaria,Kosovo,105,84,35,1,4,4,3,3,0,11,47
2017,1,2016-09-07,Georgia,Montenegro,74,76,36,1,4,4,3,3,0,29,53
2017,1,2016-09-10,Austria,Netherlands,61,75,37,1,3,3,4,4,0,5,54
2017,1,2016-09-10,Bosnia & Herzegovina,Russia,67,78,38,1,7,3,3,3,0,9,66
2017,1,2016-09-10,Kosovo,Slovenia,81,91,39,1,3,3,4,4,0,47,71
2017,1,2016-09-10,Great Britain,Hungary,80,88,40,1,3,3,4,4,0,31,34
2017,1,2016-09-10,Luxembourg,North Macedonia,74,82,41,1,3,3,4,4,0,51,57
2017,1,2016-09-10,Portugal,Poland,74,81,42,1,7,3,3,3,0,62,61
2017,1,2016-09-10,Albania,Georgia,64,84,43,1,3,3,4,4,0,1,29
2017,1,2016-09-10,Denmark,Germany,106,102,44,1,3,3,4,4,0,23,30
2017,1,2016-09-10,Slovakia,Montenegro,62,99,45,1,3,3,4,4,0,70,53
2017,1,2016-09-10,Switzerland,Iceland,83,80,46,1,3,3,4,4,0,76,35
2017,1,2016-09-10,Bulgaria,Ukraine,67,72,47,1,3,3,4,4,0,11,82
2017,1,2016-09-10,Cyprus,Belgium,55,72,48,1,3,3,4,4,0,20,8
2017,1,2016-09-14,Iceland,Cyprus,84,62,49,1,4,4,5,5,0,35,20
2017,1,2016-09-14,Montenegro,Albania,94,56,50,1,4,4,5,5,0,53,1
2017,1,2016-09-14,Belgium,Switzerland,87,49,51,1,4,4,5,5,0,8,76
2017,1,2016-09-14,Netherlands,Denmark,98,88,52,1,4,4,5,5,0,54,23
2017,1,2016-09-14,Slovenia,Bulgaria,85,63,53,1,4,4,5,5,0,71,11
2017,1,2016-09-14,Sweden,Bosnia & Herzegovina,76,78,54,1,7,4,3,4,0,75,9
2017,1,2016-09-14,Germany,Austria,78,58,55,1,4,4,5,5,0,30,5
2017,1,2016-09-14,Luxembourg,Hungary,65,68,56,1,4,4,5,5,0,51,34
2017,1,2016-09-14,North Macedonia,Great Britain,62,89,57,1,4,4,5,5,0,57,31
2017,1,2016-09-14,Estonia,Portugal,82,63,58,1,7,4,3,4,0,26,62
2017,1,2016-09-14,Ukraine,Kosovo,100,61,59,1,4,4,5,5,0,82,47
2017,1,2016-09-14,Georgia,Slovakia,96,68,60,1,4,4,5,5,0,29,70
2017,1,2016-09-17,Montenegro,Georgia,84,90,61,1,3,3,6,6,0,53,29
2017,1,2016-09-17,Kosovo,Bulgaria,62,67,62,1,3,3,6,6,0,47,11
2017,1,2016-09-17,Luxembourg,Great Britain,82,75,63,1,3,3,6,6,0,51,31
2017,1,2016-09-17,Albania,Slovakia,72,65,64,1,3,3,6,6,0,1,70
2017,1,2016-09-17,Denmark,Austria,86,72,65,1,3,3,6,6,0,23,5
2017,1,2016-09-17,Estonia,Poland,63,94,66,1,3,7,4,4,0,26,61
2017,1,2016-09-17,Netherlands,Germany,51,82,67,1,3,3,6,6,0,54,30
