iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-08-27,Great Britain,Lithuania,58.609466,77.269391
1,2,1,2025-08-27,Czech Republic,Portugal,71.681603,88.199344
1,3,1,2025-08-27,Montenegro,Germany,82.456574,92.030087
1,4,1,2025-08-27,Latvia,Turkey,97.196517,108.44355
1,5,1,2025-08-27,Sweden,Finland,77.408333,80.415277
1,6,1,2025-08-27,Serbia,Estonia,99.644083,71.522566
1,7,1,2025-08-28,Georgia,Spain,64.921879,67.885319
1,8,1,2025-08-28,Israel,Iceland,98.436898,82.499731
1,9,1,2025-08-28,Belgium,France,68.47223,72.839512
1,10,1,2025-08-28,Bosnia & Herzegovina,Cyprus,104.16078,70.027318
1,11,1,2025-08-28,Greece,Italy,65.597805,72.90862
1,12,1,2025-08-28,Slovenia,Poland,105.5879,89.94522
1,13,1,2025-08-29,Germany,Sweden,87.50807,56.943577
1,14,1,2025-08-29,Turkey,Czech Republic,98.251447,72.813223
1,15,1,2025-08-29,Lithuania,Montenegro,78.337707,74.22763
1,16,1,2025-08-29,Estonia,Latvia,73.365655,80.294939
1,17,1,2025-08-29,Finland,Great Britain,99.130513,80.228011
1,18,1,2025-08-29,Portugal,Serbia,35.992921,79.119371
1,19,1,2025-08-30,Lithuania,Germany,92.894561,81.524001
1,20,1,2025-08-30,Czech Republic,Estonia,72.884357,78.856928
1,21,1,2025-08-30,Iceland,Belgium,80.975116,68.697456
1,22,1,2025-08-30,Italy,Georgia,80.126791,71.221526
1,23,1,2025-08-30,Great Britain,Sweden,55.308886,58.066068
1,24,1,2025-08-30,France,Slovenia,79.729506,78.915158
1,25,1,2025-08-30,Latvia,Serbia,88.824405,90.134328
1,26,1,2025-08-30,Cyprus,Greece,60.629112,89.626878
1,27,1,2025-08-30,Montenegro,Finland,86.615159,92.306401
1,28,1,2025-08-30,Turkey,Portugal,88.982181,64.012292
1,29,1,2025-08-30,Poland,Israel,91.007958,103.97009
1,30,1,2025-08-30,Spain,Bosnia & Herzegovina,86.813831,79.205163
1,31,1,2025-08-31,Georgia,Greece,80.389582,81.916935
1,32,1,2025-08-31,Slovenia,Belgium,82.736253,96.584098
1,33,1,2025-08-31,Israel,France,74.816512,46.942574
1,34,1,2025-08-31,Spain,Cyprus,88.323758,44.525836
1,35,1,2025-08-31,Bosnia & Herzegovina,Italy,72.687258,67.13554
1,36,1,2025-08-31,Poland,Iceland,89.30593,63.470181
1,37,1,2025-09-01,Sweden,Montenegro,80.56075,71.994969
1,38,1,2025-09-01,Estonia,Turkey,67.208085,101.44756
1,39,1,2025-09-01,Germany,Great Britain,90.831775,76.166605
1,40,1,2025-09-01,Portugal,Latvia,70.493278,72.075482
1,41,1,2025-09-01,Finland,Lithuania,106.88027,91.368361
1,42,1,2025-09-01,Serbia,Czech Republic,103.64861,97.998587
1,43,1,2025-09-02,Belgium,Israel,55.266421,61.085756
